"subjid","survey","primary_pct_cor","primary_pct_fid","secondary_pct_cor","secondary_pct_fid","tertiary_pct_cor","tertiary_pct_fid"
"CAP2063","ebpP2",60,80,NA,NA,75,NA
"CAP2088","ebpP2",50,82.35,75,73.68,NA,NA
"CAP2097","ebpP2",75,94.74,75,78.95,100,100
"CAP2098","ebpP2",66.67,68.42,100,63.16,NA,NA
"CAP2099","ebpP2",33.33,94.74,100,89.47,25,93.75
"CAP2110","ebpP2",100,92.86,50,88.89,25,100
"CAP2113","ebpP2",100,100,100,100,100,100
"CAP2117","ebpP2",50,100,66.67,100,75,100
"CAP2119","ebpP2",66.67,87.5,50,94.74,75,87.5
"CAP2183","ebpP2",33.33,44.44,75,52.63,50,56.25
"CAP2187","ebpP2",NA,NA,100,100,NA,NA
"CAP2188","ebpP2",50,66.67,25,62.5,60,71.43
"CAP2190","ebpP2",40,85,50,93.75,100,84.21
"CAP2197","ebpP2",50,100,0,93.33,50,88.89
"CAP2213","ebpP2",50,100,100,100,NA,NA
"CAP2216","ebpP2",40,83.33,100,100,100,100
"CAP2224","ebpP2",100,89.47,100,89.47,50,85.71
"CAP2237","ebpP2",50,85.71,50,94.12,0,94.44
"CAP224","ebpP2",60,75,0,52,66.67,92
"CAP2240","ebpP2",50,93.75,0,83.33,60,92.86
"CAP2241","ebpP2",60,80,50,68.42,66.67,94.74
"CAP2270","ebpP2",50,82.35,0,72.22,NA,NA
"CAP2278","ebpP2",66.67,72.73,25,43.75,25,46.67
"CAP2290","ebpP2",50,100,0,100,66.67,46.15
"CAP2294","ebpP2",0,73.33,100,86.96,66.67,89.47
"CAP2303","ebpP2",33.33,94.74,75,100,33.33,100
"CAP231","ebpP2",60,100,100,100,75,89.47
"CAP2343","ebpP2",0,84.62,25,81.25,0,93.33
"CAP2362","ebpP2",100,89.47,60,70,50,75
"CAP2381","ebpP2",25,100,50,100,33.33,100
"CAP2397","ebpP2",100,78.95,60,87.5,100,100
"CAP2436","ebpP2",50,100,60,93.75,100,94.74
"CAP2439","ebpP2",50,100,25,100,60,100
"CAP2452","ebpP2",100,84.21,100,100,60,90
"CAP2482","ebpP2",100,94.74,50,100,33.33,76.92
"CAP2495","ebpP2",50,94.74,33.33,72,75,78.95
"CAP2500","ebpP2",20,80,25,80,66.67,64
"CAP2527","ebpP2",75,NA,NA,NA,NA,NA
"CAP2545","ebpP2",75,88.46,100,78.95,66.67,76.92
"CAP2551","ebpP2",50,58.82,75,94.44,50,93.75
"CAP2559","ebpP2",66.67,100,100,100,40,95.83
"CAP2561","ebpP2",60,75,75,94.74,25,100
"CAP2569","ebpP2",0,77.78,100,73.68,75,75
"CAP2572","ebpP2",100,100,100,94.74,75,94.74
"CAP2594","ebpP2",60,87.5,NA,NA,100,94.74
"CAP2624","ebpP2",100,100,50,100,75,100
"CAP2635","ebpP2",66.67,94.12,75,100,100,95.65
"CAP2646","ebpP2",33.33,77.42,100,78.95,50,80
"CAP2648","ebpP2",100,94.74,100,100,33.33,100
"CAP2688","ebpP2",60,70,25,86.67,33.33,93.75
"CAP2699","ebpP2",0,100,0,100,60,100
"CAP2706","ebpP2",60,83.33,33.33,82.35,33.33,66.67
"CAP2731","ebpP2",50,82.61,33.33,84.21,33.33,80.65
"CAP2735","ebpP2",75,100,75,100,25,100
"CAP2744","ebpP2",0,100,66.67,100,50,96.15
"CAP2751","ebpP2",75,88.89,100,100,60,85
"CAP2764","ebpP2",100,94.74,75,100,66.67,94.44
"CAP2767","ebpP2",50,100,25,100,75,94.74
"CAP2783","ebpP2",100,94.74,60,85,33.33,73.33
"CAP2790","ebpP2",50,100,60,95,25,NA
"CAP2791","ebpP2",50,100,100,100,33.33,100
"CAP2809","ebpP2",100,94.74,66.67,100,66.67,93.55
"CAP2831","ebpP2",50,92.86,66.67,88.89,NA,NA
"CAP2860","ebpP2",50,100,75,93.75,0,89.47
"CAP2862","ebpP2",NA,NA,NA,NA,100,78.57
"CAP2866","ebpP2",75,96.15,33.33,88.24,100,100
"CAP2870","ebpP2",75,84.62,75,66.67,33.33,94.12
"CAP2887","ebpP2",66.67,78.95,100,78.57,NA,NA
"CAP2891","ebpP2",50,78.95,66.67,82.35,66.67,70.97
"CAP2897","ebpP2",66.67,92.31,100,100,33.33,93.75
"CAP2917","ebpP2",60,66.67,75,72.22,40,55
"CAP2923","ebpP2",50,87.5,50,94.44,66.67,94.74
"CAP2926","ebpP2",60,91.67,66.67,92.31,50,100
"CAP2933","ebpP2",25,100,66.67,69.57,33.33,100
"CAP2937","ebpP2",50,100,100,100,33.33,92.31
"CAP2980","ebpP2",100,90.48,66.67,92.31,60,85
"CAP2986","ebpP2",50,100,66.67,100,100,94.74
"CAP3026","ebpP2",75,81.25,25,100,NA,NA
"CAP3029","ebpP2",60,100,60,85,33.33,92.31
"CAP3031","ebpP2",60,93.75,0,83.33,50,93.33
"CAP3036","ebpP2",33.33,73.08,60,75,66.67,64
"CAP3038","ebpP2",33.33,93.33,100,89.47,25,100
"CAP3039","ebpP2",66.67,83.33,50,92.86,50,94.44
"CAP3040","ebpP2",50,100,50,100,60,80
"CAP3071","ebpP2",66.67,95.45,100,100,100,100
"CAP3081","ebpP2",100,100,0,73.68,33.33,86.67
"CAP3083","ebpP2",50,84.21,66.67,68.42,50,75
"CAP3084","ebpP2",66.67,92,50,100,60,100
"CAP3093","ebpP2",60,100,33.33,100,60,100
"CAP3094","ebpP2",33.33,100,25,100,50,94.74
"CAP3096","ebpP2",100,94.74,40,87.5,50,68.75
"CAP3101","ebpP2",50,86.96,50,83.33,100,47.37
"CAP3126","ebpP2",100,78.95,50,93.75,25,100
"CAP3138","ebpP2",25,87.5,NA,NA,50,93.75
"CAP3139","ebpP2",66.67,73.68,NA,NA,75,100
"CAP3142","ebpP2",100,92.86,75,89.47,NA,NA
"CAP3150","ebpP2",33.33,100,75,100,50,100
"CAP3176","ebpP2",25,100,75,100,100,94.74
"CAP3207","ebpP2",66.67,94.44,NA,NA,NA,NA
"CAP3244","ebpP2",60,100,50,100,0,100
"CAP3266","ebpP2",100,100,75,100,NA,NA
"CAP3274","ebpP2",50,94.74,66.67,100,100,78.95
"CAP3310","ebpP2",50,82.35,0,88.89,NA,NA
"CAP3311","ebpP2",66.67,57.89,75,100,60,85
"CAP3312","ebpP2",50,100,60,95,NA,NA
"CAP3327","ebpP2",40,100,33.33,92,33.33,88.46
"CAP3336","ebpP2",33.33,71.43,60,95.83,50,93.33
"CAP3338","ebpP2",66.67,43.75,50,95.65,60,85
"CAP3376","ebpP2",60,95.83,50,100,50,100
"CAP3384","ebpP2",50,68.42,100,78.95,100,77.27
"CAP3390","ebpP2",NA,NA,NA,NA,50,73.68
"CAP3518","ebpP2",NA,NA,NA,NA,NA,NA
"CAP364","ebpP2",25,100,33.33,100,100,100
"CAP4153","ebpP2",60,88,100,95,50,100
"CAP4158","ebpP2",60,100,50,100,75,100
"CAP4159","ebpP2",75,83,100,95,100,95
"CAP4160","ebpP2",NA,NA,NA,NA,NA,NA
"CAP4161","ebpP2",NA,NA,NA,NA,NA,NA
"CAP819","ebpP2",0,89.47,33.33,90.62,60,91.67
"CAP856","ebpP2",60,75,50,88.24,25,81.25
"CAP871","ebpP2",75,78.95,75,82.35,75,93.75
"CAP899","ebpP2",60,91.67,75,89.47,50,100
"CAP913","ebpP2",100,94.74,50,100,75,100
"CAP918","ebpP2",50,95.65,60,80,75,100
"CAP935","ebpP2",25,100,60,95.83,50,100
"CAP948","ebpP2",33.33,94.12,100,100,100,100
"CAP957","ebpP2",66.67,77.78,0,71.43,100,73.68
"CAP966","ebpP2",50,94.74,50,100,40,93.75
"CAP980","ebpP2",40,75,50,37.5,100,94.74
"CAP981","ebpP2",25,66.67,100,100,60,87.5
"CAP987","ebpP2",25,93.75,0,91.3,50,93.75
